pool_id,year,country,carrier_class,carrier_evidence_capacity_gwh_per_day,carrier_evidence_asset_ids,carrier_evidence_project_codes,allocation_rule,source_id,traceable
CP_2030_Belgium_NH3_cracked_to_H2,2030,Belgium,NH3_cracked_to_H2,166.6,H2L_005;H2L_014;H2L_020,H2L-N-1100;H2L-N-664;H2L-N-822,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2030_France_NH3_cracked_to_H2,2030,France,NH3_cracked_to_H2,24.0,H2L_006;H2L_007,H2L-N-741;H2L-N-776,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2030_Germany_LOHC_to_H2,2030,Germany,LOHC_to_H2,0.16,H2L_015,H2L-N-863,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2030_Germany_NH3_cracked_to_H2,2030,Germany,NH3_cracked_to_H2,77.3,H2L_017;H2L_018;H2L_019;H2L_022,H2L-N-1056;H2L-N-1099;H2L-N-1159;H2L-N-968,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2030_Italy_NH3_cracked_to_H2,2030,Italy,NH3_cracked_to_H2,27.5,H2L_024,H2L-N-1314,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2030_Netherlands_NH3_cracked_to_H2,2030,Netherlands,NH3_cracked_to_H2,229.60000000000002,H2L_001;H2L_002;H2L_021,H2L-A-665;H2L-A-754;H2L-N-1127,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2030_Poland_NH3_cracked_to_H2,2030,Poland,NH3_cracked_to_H2,17.7,H2L_003,H2L-A-1041,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_Belgium_NH3_cracked_to_H2,2040,Belgium,NH3_cracked_to_H2,214.6,H2L_005;H2L_014;H2L_020;H2L_025,H2L-N-1100;H2L-N-1325;H2L-N-664;H2L-N-822,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_France_NH3_cracked_to_H2,2040,France,NH3_cracked_to_H2,90.0,H2L_006;H2L_007;H2L_009;H2L_013,H2L-N-741;H2L-N-776;H2L-N-820,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_Germany_LOHC_to_H2,2040,Germany,LOHC_to_H2,0.16,H2L_015,H2L-N-863,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_Germany_NH3_cracked_to_H2,2040,Germany,NH3_cracked_to_H2,77.3,H2L_017;H2L_018;H2L_019;H2L_022,H2L-N-1056;H2L-N-1099;H2L-N-1159;H2L-N-968,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_Greece_NH3_cracked_to_H2,2040,Greece,NH3_cracked_to_H2,50.0,H2L_016,H2L-N-932,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_Italy_NH3_cracked_to_H2,2040,Italy,NH3_cracked_to_H2,27.5,H2L_024,H2L-N-1314,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_Netherlands_NH3_cracked_to_H2,2040,Netherlands,NH3_cracked_to_H2,229.60000000000002,H2L_001;H2L_002;H2L_021,H2L-A-665;H2L-A-754;H2L-N-1127,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
CP_2040_Poland_NH3_cracked_to_H2,2040,Poland,NH3_cracked_to_H2,17.7,H2L_003,H2L-A-1041,One shared country-level carrier pool across explicit C2 terminal groups; no project-to-node crosswalk is claimed.,TYNDP2024_ANNEX_A,True
