asset_id,project_code,project_name,country,reported_carrier,reported_capacity_gwh_per_day,commissioning_year,maturity_status,source_id,source_locator,source_semantics,reason,action,exclusion_domain,source_row,from_node,to_node,from_country,to_country,year,capacity_pci_pmi_gwh_per_day,capacity_advanced_gwh_per_day,capacity_semantics,facility_id,city,owner_or_project
H2L_004,H2L-N-543,LH2.Rotterdam,Netherlands,Amonia,3.8,2028.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-543","Promoter-submitted planning project record, not evidence of operating throughput.",carrier_field_conflicts_with_project_name,Excluded from all core capacity and carrier flows; retained only in exclusion ledger.,terminal_carrier_evidence,,,,,,,,,,,,
H2L_008,H2L-N-776,Port-La Nouvelle: Infrastructure Development for Low-Carbon Hydrogen Growth,France,Methanol,9.0,2029.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-776","Promoter-submitted planning project record, not evidence of operating throughput.",methanol_not_in_preregistered_carrier_set,Excluded from all core capacity and carrier flows; retained only in exclusion ledger.,terminal_carrier_evidence,,,,,,,,,,,,
H2L_010,H2L-N-776,Port-La Nouvelle: Infrastructure Development for Low-Carbon Hydrogen Growth,France,Methanol,18.0,2039.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-776","Promoter-submitted planning project record, not evidence of operating throughput.",methanol_not_in_preregistered_carrier_set,Excluded from all core capacity and carrier flows; retained only in exclusion ledger.,terminal_carrier_evidence,,,,,,,,,,,,
H2L_012,H2L-N-776,Port-La Nouvelle: Infrastructure Development for Low-Carbon Hydrogen Growth,France,Methanol,36.0,2049.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-776","Promoter-submitted planning project record, not evidence of operating throughput.",methanol_not_in_preregistered_carrier_set,Excluded from all core capacity and carrier flows; retained only in exclusion ledger.,terminal_carrier_evidence,,,,,,,,,,,,
H2L_023,H2L-N-1186,WH2V - e-NG hub,Germany,Other LOHC,,2030.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1186","Promoter-submitted planning project record, not evidence of operating throughput.",missing_or_nonpositive_project_capacity,Excluded from all core capacity and carrier flows; retained only in exclusion ledger.,terminal_carrier_evidence,,,,,,,,,,,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 4",,outside_core_horizon,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,4.0,ALh2,HRh2,Albania,Croatia,2050.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 7",,outside_core_horizon,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,7.0,DZh2,ITh2,Algeria,Italy,2050.0,448.0,448.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 8",,endpoint_not_terminal_or_backbone,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,8.0,ATh2,IB-STcATh2,Austria,Austria,2030.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 9",,endpoint_not_terminal_or_backbone,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,9.0,ATh2,IB-STcATh2,Austria,Austria,2040.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 10",,outside_core_horizon,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,10.0,ATh2,IB-STcATh2,Austria,Austria,2050.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 11",,endpoint_not_terminal_or_backbone,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,11.0,IB-STcATh2,ATh2,Austria,Austria,2030.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 12",,endpoint_not_terminal_or_backbone,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,12.0,IB-STcATh2,ATh2,Austria,Austria,2040.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 13",,outside_core_horizon,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,13.0,IB-STcATh2,ATh2,Austria,Austria,2050.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
,,,,,,,,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 14",,endpoint_not_terminal_or_backbone,"Excluded from core graph; no endpoint, direction, or capacity is inferred.",c2_topology,14.0,NPcATh2TP,ATh2,Austria,Austria,2030.0,0.0,0.0,"TYNDP infrastructure-level planning capacity, not observed operational availability.",,,
