facility_id,country,city,owner_or_project,end_use,baseline_h2_tonnes_per_year,baseline_h2_gwh_per_year,latitude,longitude,direct_ammonia_eligible,direct_ammonia_rule,source_id,source_locator,traceable
EHO_F001,France,Donges,Total,Refining,37295.925200784,1243.1975066927998,47.318789,-2.074694,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 8",True
EHO_F002,France,Feyzin,Total,Refining,20549.74163046207,684.991387682069,45.6740259,4.8602463,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 9",True
EHO_F003,France,Fos sur Mer,ExxonMobil,Refining,27562.29674871924,918.743224957308,43.439882,4.945711,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 10",True
EHO_F004,France,Gonfreville L'Orcher,Total,Refining,115121.3710680023,3837.379035600077,49.503579,0.233079,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 11",True
EHO_F005,France,Grandpuits-Bailly-Carrois,LAT Nitrogen,Ammonia,36719.78295492614,1223.9927651642045,48.5854426,2.9781166,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 12",True
EHO_F006,France,Grand-Quevilly,Agrofert,Ammonia,33457.66100676642,1115.2553668922142,49.411811,1.041384,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 13",True
EHO_F007,France,Jarrie,Arkema,Other chemicals,5687.775,189.59249999999997,45.1144266,5.7547492,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 14",True
EHO_F008,France,La Mede,Total,Refining,15528.29374648879,517.6097915496263,43.399232,5.111521,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 15",True
EHO_F009,France,Lavéra,Petrolneos Refining Ltd.,Refining,40613.8612829686,1353.7953760989535,43.390073,5.030569,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 16",True
EHO_F010,France,Le Havre,YARA,Ammonia,33457.66100676642,1115.2553668922142,49.49437,0.107929,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 17",True
