node_id,node_type,country,source_id,source_locator,traceable
ALh2,backbone,Albania,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
HRh2,backbone,Croatia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
DZh2,backbone,Algeria,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
ITh2,backbone,Italy,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
ATh2,backbone,Austria,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
DEh2,backbone,Germany,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
HUh2,backbone,Hungary,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
IB-ITh2,backbone,Italy,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
IB-SKh2W,backbone,Slovakia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
SIh2,backbone,Slovenia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
BEh2,backbone,Belgium,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
BEH2Mo,backbone,Belgium,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_BE,terminal,Belgium,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FRh2,backbone,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FRh2N,backbone,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FRh2Va,backbone,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LUh2,backbone,Luxembourg,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
NLh2,backbone,Netherlands,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
UKh2/INT,backbone,United Kingdom,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
BAh2,backbone,Bosnia Herzegovina,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
BGh2,backbone,Bulgaria,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
GRh2,backbone,Greece,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
MKh2,backbone,North Macedonia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
ROh2,backbone,Romania,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_HR,terminal,Croatia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
RSh2,backbone,Serbia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
CYh2,backbone,Cyprus,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
CZh2,backbone,Czechia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
PLh2S,backbone,Poland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
DKh2,backbone,Denmark,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
NOh2,backbone,Norway,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
PLh2N,backbone,Poland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
EEh2,backbone,Estonia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FIh2S,backbone,Finland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LVh2,backbone,Latvia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FIh2,backbone,Finland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FIh2Al,backbone,Finland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FIh2N,backbone,Finland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
SEh2,backbone,Sweden,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FRh2S,backbone,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
FRh2SW,backbone,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_FRn,terminal,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_FRSW,terminal,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_FRW,terminal,France,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
ESh2,backbone,Spain,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
CHh2,backbone,Switzerland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
DEh2ba,backbone,Germany,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
DEh2bp,backbone,Germany,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_DE,terminal,Germany,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_DEbp,terminal,Germany,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
Y-NOh2,backbone,Norway,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
PLh2nbc,backbone,Poland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
TRh2,backbone,Turkey,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
IB-SKh2C,backbone,Slovakia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
UAh2,backbone,Ukraine,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
IEh2,backbone,Ireland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
UKh2,backbone,United Kingdom,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
ILh2,backbone,Israel,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_ITa,terminal,Italy,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LTh2,backbone,Lithuania,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
MDh2,backbone,Moldavia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
MAh2,backbone,Morocco,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_NL,terminal,Netherlands,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_PLN,terminal,Poland,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
IB-SKh2E,backbone,Slovakia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
LH2_Tk_PT,terminal,Portugal,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
PTh2,backbone,Portugal,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
SKh2E,backbone,Slovakia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
SKh2W,backbone,Slovakia,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes",True
