source_id,filename,sha256,bytes,source_url,version,license_note,model_role,stored_on
TYNDP2024_ANNEX_A,TYNDP_2024_Annex_A_List_of_projects.xlsx,0dce0ccfb3cf386a6448729842e8e7c4dcccfcb424bdf368781aa046883ce499,836793,https://tyndp2024.entsog.eu/downloads/,"TYNDP 2024 final, Annex A",Publicly accessible ENTSOG material; retain source terms and do not assume redistribution rights.,"Project-level H2L carrier, maturity, capacity, and commissioning evidence.",D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
TYNDP2024_ANNEX_C2,TYNDP_2024_Annex_C2_Hydrogen_Infrastructure_Capacities.xlsx,31d4659526492b12c4e149ebf2df4843d8b779f7929109346df25c54f626036f,381095,https://tyndp2024.entsog.eu/downloads/,"TYNDP 2024 final, Annex C2",Publicly accessible ENTSOG material; retain source terms and do not assume redistribution rights.,Explicit terminal-to-backbone and hydrogen-network capacity edges.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
EHO_DEMAND_2024_UPDATE,Hydrogen_demand_2024_Update_2025.xlsx,19b88807696b0b0f728c37e009da2eb2e72862836b73c502427b50064cd5ca46,296133,https://observatory.clean-hydrogen.europa.eu/tools-reports/hydrogen-demand-2024-update,Hydrogen demand 2024 update (2025 publication),Publicly accessible European Hydrogen Observatory material; retain source terms.,Country-sector totals and plant-level coordinate inventory.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
EHO_DEMAND_FORECASTS_2023,Hydrogen_demand_forecasts_2023.xlsx,b4ba54ecdb6b62963e83dc0180a90e93908a8e9b732c3147eec981b35bdf47a2,145553,https://observatory.clean-hydrogen.europa.eu/tools-reports/scenarios-future-hydrogen-demand,Hydrogen demand forecasts 2023,Publicly accessible European Hydrogen Observatory material; retain source terms.,"Low, median, and high industrial-demand scenario envelope.",D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
TYNDP2024_IGI_2030,TYNDP_2024_H2_IGI_Assessment_2030.md,a5efe40c356305ee1c42d8b9e25e73f3a253083626b223769149aaf3cd79b492,61895,https://tyndp2024.entsog.eu/h2igi-report/assessment-for-2030/,TYNDP 2024 H2 IGI assessment for 2030,Rendered public official page retained for reproducibility; source terms remain at ENTSOG.,Independent published curtailment-rate benchmark tables.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
TYNDP2024_IGI_2040,TYNDP_2024_H2_IGI_Assessment_2040.md,52d410527fd3b150df9f528fd1689786f33dec05e84c308b4c18d1b2b78f5b7b,97858,https://tyndp2024.entsog.eu/h2igi-report/assessment-for-2040/,TYNDP 2024 H2 IGI assessment for 2040,Rendered public official page retained for reproducibility; source terms remain at ENTSOG.,Independent published curtailment-rate benchmark tables.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
TYNDP2024_IGI_REPORT,TYNDP_2024_H2_IGI_Report.pdf,7596d090f1ff8d12298afff522d9708ab01599bac0590c8caab433d74714750d,16512289,https://tyndp2024.entsog.eu/downloads/,TYNDP 2024 H2 Infrastructure Gaps Identification Report,Publicly accessible ENTSOG material; retain source terms and do not assume redistribution rights.,Method boundary for the external benchmark; not a replication target.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
TYNDP2024_ANNEX_E_SCOPE_CHECK,TYNDP_2024_Annex_E_Analysis_Tables.xlsx,617053b956f4849c365423a82e4cf64d9993d4fca808849dc667688c8f7e2c6b,3881744,https://tyndp2024.entsog.eu/downloads/,"TYNDP 2024 final, Annex E",Publicly accessible ENTSOG material; retain source terms and do not assume redistribution rights.,Scope check only. The downloaded workbook contains natural-gas analysis tables and supplies no hydrogen IGI result used by this model.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
TYNDP2024_H2T_MAP,TYNDP_2024_H2T_Map.pdf,66bbc403d8dc01e996ba7523ff1f45b8ccabfe532a340c7518a54510cc02f990,23798255,https://tyndp2024.entsog.eu/downloads/,TYNDP 2024 H2T map,Publicly accessible ENTSOG material; retain source terms and do not assume redistribution rights.,Manual topology-orientation cross-check only. No map-derived geometry or capacity is entered in the model.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
NATURALEARTH_110M_COUNTRIES,ne_110m_admin_0_countries.geojson,6866c877d39cba9c357620878839b336d569f8c662d3cfab4cb1dbe2d39c977f,838726,https://github.com/nvkelso/natural-earth-vector/blob/master/geojson/ne_110m_admin_0_countries.geojson,"Natural Earth 1:110m country outlines","Public-domain Natural Earth cultural and physical vectors; map backdrop only.","Publication figure backdrop. No coordinate, geometry, or capacity values are entered into the optimization model.","D staged visualization asset; not copied to E"
CHP_PORT_STUDY_R1,report1_2023-03-31.pdf,4c562c43a087713b34fa34e03eb46c738d10ce99fdb3eace20e61743225559f1,13605616,https://www.clean-hydrogen.europa.eu/media/publications/study-hydrogen-ports-and-industrial-coastal-areas-reports_en,"Clean Hydrogen Partnership port study, report 1 (2023)",Publicly accessible EU material; retain source terms and do not assume redistribution rights.,Contextual terminal and port-system evidence; no capacity is copied into the model without a specific numeric record.,D staging for downloaded artefacts; E read-only raw repository for pre-existing source files
