case,type,abs_difference
2030_PCIPMI_0.25,joint minimum witness LP,2.1827872842550278e-11
2030_PCIPMI_0.5,joint minimum witness LP,2.546585164964199e-11
2030_PCIPMI_0.75,joint minimum witness LP,3.637978807091713e-11
2030_Advanced_0.25,joint minimum witness LP,2.1827872842550278e-11
2030_Advanced_0.5,joint minimum witness LP,3.2741809263825417e-11
2030_Advanced_0.75,joint minimum witness LP,4.3655745685100555e-11
2040_PCIPMI_0.25,joint minimum witness LP,3.637978807091713e-11
2040_PCIPMI_0.5,joint minimum witness LP,5.093170329928398e-11
2040_PCIPMI_0.75,joint minimum witness LP,6.548361852765083e-11
2040_Advanced_0.25,joint minimum witness LP,5.093170329928398e-11
2040_Advanced_0.5,joint minimum witness LP,5.820766091346741e-11
2040_Advanced_0.75,joint minimum witness LP,6.548361852765083e-11
0,seeded subset/source assignment LP,0.0
1,seeded subset/source assignment LP,0.0
2,seeded subset/source assignment LP,0.0
3,seeded subset/source assignment LP,0.0
4,seeded subset/source assignment LP,0.0
5,seeded subset/source assignment LP,1.4551915228366852e-11
6,seeded subset/source assignment LP,0.0
7,seeded subset/source assignment LP,1.4551915228366852e-11
8,seeded subset/source assignment LP,0.0
9,seeded subset/source assignment LP,7.275957614183426e-12
10,seeded subset/source assignment LP,0.0
11,seeded subset/source assignment LP,0.0
12,seeded subset/source assignment LP,7.275957614183426e-12
13,seeded subset/source assignment LP,2.9103830456733704e-11
14,seeded subset/source assignment LP,0.0
15,seeded subset/source assignment LP,0.0
16,seeded subset/source assignment LP,7.275957614183426e-12
17,seeded subset/source assignment LP,0.0
18,seeded subset/source assignment LP,0.0
19,seeded subset/source assignment LP,0.0
20,seeded subset/source assignment LP,7.275957614183426e-12
21,seeded subset/source assignment LP,1.4551915228366852e-11
22,seeded subset/source assignment LP,0.0
23,seeded subset/source assignment LP,0.0
24,seeded subset/source assignment LP,7.275957614183426e-12
25,seeded subset/source assignment LP,0.0
26,seeded subset/source assignment LP,1.4551915228366852e-11
27,seeded subset/source assignment LP,0.0
28,seeded subset/source assignment LP,0.0
29,seeded subset/source assignment LP,4.547473508864641e-12
30,seeded subset/source assignment LP,7.275957614183426e-12
31,seeded subset/source assignment LP,0.0
32,seeded subset/source assignment LP,0.0
33,seeded subset/source assignment LP,1.4551915228366852e-11
34,seeded subset/source assignment LP,1.4551915228366852e-11
35,seeded subset/source assignment LP,0.0
36,seeded subset/source assignment LP,0.0
37,seeded subset/source assignment LP,0.0
38,seeded subset/source assignment LP,7.275957614183426e-12
39,seeded subset/source assignment LP,0.0
40,seeded subset/source assignment LP,3.637978807091713e-12
41,seeded subset/source assignment LP,3.637978807091713e-12
42,seeded subset/source assignment LP,0.0
43,seeded subset/source assignment LP,0.0
44,seeded subset/source assignment LP,7.275957614183426e-12
45,seeded subset/source assignment LP,0.0
46,seeded subset/source assignment LP,2.1827872842550278e-11
47,seeded subset/source assignment LP,0.0
48,seeded subset/source assignment LP,0.0
49,seeded subset/source assignment LP,0.0
50,seeded subset/source assignment LP,0.0
51,seeded subset/source assignment LP,7.275957614183426e-12
52,seeded subset/source assignment LP,7.275957614183426e-12
53,seeded subset/source assignment LP,0.0
54,seeded subset/source assignment LP,1.4551915228366852e-11
55,seeded subset/source assignment LP,0.0
56,seeded subset/source assignment LP,0.0
57,seeded subset/source assignment LP,7.275957614183426e-12
58,seeded subset/source assignment LP,0.0
59,seeded subset/source assignment LP,0.0
60,seeded subset/source assignment LP,7.275957614183426e-12
61,seeded subset/source assignment LP,7.275957614183426e-12
62,seeded subset/source assignment LP,0.0
63,seeded subset/source assignment LP,1.8189894035458565e-12
64,seeded subset/source assignment LP,0.0
65,seeded subset/source assignment LP,0.0
66,seeded subset/source assignment LP,0.0
67,seeded subset/source assignment LP,0.0
68,seeded subset/source assignment LP,0.0
69,seeded subset/source assignment LP,0.0
70,seeded subset/source assignment LP,0.0
71,seeded subset/source assignment LP,0.0
72,seeded subset/source assignment LP,1.4551915228366852e-11
73,seeded subset/source assignment LP,0.0
74,seeded subset/source assignment LP,1.4551915228366852e-11
75,seeded subset/source assignment LP,0.0
76,seeded subset/source assignment LP,0.0
77,seeded subset/source assignment LP,0.0
78,seeded subset/source assignment LP,1.4551915228366852e-11
79,seeded subset/source assignment LP,0.0
80,seeded subset/source assignment LP,7.275957614183426e-12
81,seeded subset/source assignment LP,0.0
82,seeded subset/source assignment LP,0.0
83,seeded subset/source assignment LP,0.0
84,seeded subset/source assignment LP,3.637978807091713e-12
85,seeded subset/source assignment LP,7.275957614183426e-12
86,seeded subset/source assignment LP,1.4551915228366852e-11
87,seeded subset/source assignment LP,1.4551915228366852e-11
88,seeded subset/source assignment LP,7.275957614183426e-12
89,seeded subset/source assignment LP,1.4551915228366852e-11
90,seeded subset/source assignment LP,4.3655745685100555e-11
91,seeded subset/source assignment LP,0.0
92,seeded subset/source assignment LP,0.0
93,seeded subset/source assignment LP,0.0
94,seeded subset/source assignment LP,0.0
95,seeded subset/source assignment LP,0.0
96,seeded subset/source assignment LP,0.0
97,seeded subset/source assignment LP,7.275957614183426e-12
98,seeded subset/source assignment LP,0.0
99,seeded subset/source assignment LP,2.9103830456733704e-11
