scenario_id,maxflow,lp,abs_difference,mincut
2030_PCIPMI_0.25,41853.0233591574,41853.023359157414,1.4551915228366852e-11,41853.02335915741
2030_PCIPMI_0.5,45954.944357826986,45954.94435782698,7.275957614183426e-12,45954.944357826986
2030_PCIPMI_0.75,62236.03056632223,62236.030566322246,1.4551915228366852e-11,62236.030566322246
2030_Advanced_0.25,45063.562869715286,45063.56286971529,7.275957614183426e-12,45063.562869715286
2030_Advanced_0.5,49480.14164883727,49480.14164883727,0.0,49480.14164883728
2030_Advanced_0.75,67010.14768084479,67010.1476808448,1.4551915228366852e-11,67010.14768084479
2040_PCIPMI_0.25,61126.80983720829,61126.80983720829,0.0,61126.80983720828
2040_PCIPMI_0.5,82720.83352832975,82720.83352832972,2.9103830456733704e-11,82720.83352832972
2040_PCIPMI_0.75,90202.24538640048,90202.2453864005,1.4551915228366852e-11,90202.24538640051
2040_Advanced_0.25,64100.14418580137,64100.144185801364,7.275957614183426e-12,64100.14418580136
2040_Advanced_0.5,86744.54581315305,86744.54581315302,2.9103830456733704e-11,86744.54581315302
2040_Advanced_0.75,94589.86900428394,94589.86900428396,1.4551915228366852e-11,94589.86900428396
