old_code,new_code,year,capacity
H2L-A-665,H2L-N-665,2033.0,18.25
H2L-A-665,H2L-N-665,2037.0,36.49
H2L-A-754,H2L-N-754,2032.0,18.25
H2L-A-754,H2L-N-754,2034.0,36.49
H2L-A-754,H2L-N-754,2037.0,63.86
H2L-A-754,H2L-N-754,2039.0,91.23
H2L-N-1100,H2L-N-1100,2029.0,24.92
H2L-N-1100,H2L-N-1100,2033.0,45.68
H2L-N-1127,H2L-A-1127,2029.0,18.76
H2L-N-1127,H2L-A-1127,2033.0,32.09
H2L-N-1159,H2L-N-1159,2030.0,15.1
H2L-N-1314,H2L-N-1314,2034.0,27.5
H2L-N-1314,H2L-N-1314,2036.0,27.5
H2L-N-1325,H2L-N-1325,2035.0,48.0
H2L-N-664,H2L-N-664,2032.0,16.2
H2L-N-741,H2L-N-741,2034.0,15.0
H2L-N-776,H2L-A-776,2039.0,43.2
H2L-N-820,H2L-N-820,2035.0,48.0
H2L-N-822,H2L-A-822,2029.0,15.0
H2L-N-822,H2L-A-822,2030.0,15.0
H2L-N-863,H2L-N-863,2028.0,0.16
H2L-N-932,H2L-N-932,2034.0,50.0
H2L-N-968,H2L-A-968,2033.0,31.2
