project_code,year,excel_row,capacity_gwh_per_day,pass_check
H2L-A-665,2030,5,45.5,True
H2L-A-754,2028,6,48.7,True
H2L-A-1041,2029,7,17.7,True
H2L-N-664,2029,9,16.2,True
H2L-N-741,2029,10,15.0,True
H2L-N-776,2029,11,9.0,True
H2L-N-776,2039,13,18.0,True
H2L-N-776,2049,15,36.0,True
H2L-N-820,2034,17,48.0,True
H2L-N-822,2028,18,15.0,True
H2L-N-863,2027,19,0.16,True
H2L-N-932,2034,20,50.0,True
H2L-N-968,2029,21,31.2,True
H2L-N-1056,2026,22,1.0,True
H2L-N-1099,2030,23,30.0,True
H2L-N-1100,2030,24,135.4,True
H2L-N-1127,2030,25,135.4,True
H2L-N-1159,2028,26,15.1,True
H2L-N-1314,2030,28,27.5,True
H2L-N-1325,2032,29,48.0,True
