edge_id,excel_row,pass_check
E0001,2,True
E0002,3,True
E0003,5,True
E0004,6,True
E0005,17,True
E0006,18,True
E0007,20,True
E0008,21,True
E0009,23,True
E0010,24,True
E0011,26,True
E0012,27,True
E0013,29,True
E0014,30,True
E0015,32,True
E0016,33,True
E0017,35,True
E0018,36,True
E0019,38,True
E0020,39,True
E0021,44,True
E0022,45,True
E0023,47,True
E0024,48,True
E0025,50,True
E0026,51,True
E0027,53,True
E0028,54,True
E0029,56,True
E0030,57,True
E0031,59,True
E0032,60,True
E0033,62,True
E0034,63,True
E0035,65,True
E0036,66,True
E0037,71,True
E0038,72,True
E0039,74,True
E0040,75,True
E0041,77,True
E0042,78,True
E0043,80,True
E0044,81,True
E0045,83,True
E0046,84,True
E0047,92,True
E0048,93,True
E0049,98,True
E0050,99,True
E0051,101,True
E0052,102,True
E0053,104,True
E0054,105,True
E0055,110,True
E0056,111,True
E0057,122,True
E0058,123,True
E0059,125,True
E0060,126,True
E0061,128,True
E0062,129,True
E0063,146,True
E0064,147,True
E0065,152,True
E0066,153,True
E0067,155,True
E0068,156,True
E0069,161,True
E0070,162,True
E0071,164,True
E0072,165,True
E0073,167,True
E0074,168,True
E0075,170,True
E0076,171,True
E0077,173,True
E0078,174,True
E0079,176,True
E0080,177,True
E0081,182,True
E0082,183,True
E0083,185,True
E0084,186,True
E0085,191,True
E0086,192,True
E0087,230,True
E0088,231,True
E0089,233,True
E0090,234,True
E0091,236,True
E0092,237,True
E0093,239,True
E0094,240,True
E0095,242,True
E0096,243,True
E0097,245,True
E0098,246,True
E0099,248,True
E0100,249,True
E0101,251,True
E0102,252,True
E0103,254,True
E0104,255,True
E0105,257,True
E0106,258,True
E0107,260,True
E0108,261,True
E0109,266,True
E0110,267,True
E0111,269,True
E0112,270,True
E0113,272,True
E0114,273,True
E0115,278,True
E0116,279,True
E0117,281,True
E0118,282,True
E0119,287,True
E0120,288,True
E0121,299,True
E0122,300,True
E0123,302,True
E0124,303,True
E0125,305,True
E0126,306,True
E0127,329,True
E0128,330,True
E0129,332,True
E0130,333,True
E0131,335,True
E0132,336,True
E0133,338,True
E0134,339,True
E0135,341,True
E0136,342,True
E0137,344,True
E0138,345,True
E0139,347,True
E0140,348,True
E0141,350,True
E0142,351,True
E0143,353,True
E0144,354,True
E0145,356,True
E0146,357,True
E0147,362,True
E0148,363,True
E0149,365,True
E0150,366,True
E0151,368,True
E0152,369,True
E0153,374,True
E0154,375,True
E0155,377,True
E0156,378,True
E0157,386,True
E0158,387,True
E0159,389,True
E0160,390,True
E0161,392,True
E0162,393,True
E0163,395,True
E0164,396,True
E0165,398,True
E0166,399,True
E0167,401,True
E0168,402,True
E0169,404,True
E0170,405,True
E0171,419,True
E0172,420,True
E0173,422,True
E0174,423,True
E0175,425,True
E0176,426,True
E0177,428,True
E0178,429,True
E0179,440,True
E0180,441,True
E0181,443,True
E0182,444,True
E0183,446,True
E0184,447,True
E0185,449,True
E0186,450,True
E0187,452,True
E0188,453,True
E0189,458,True
E0190,459,True
E0191,461,True
E0192,462,True
E0193,464,True
E0194,465,True
E0195,467,True
E0196,468,True
E0197,473,True
E0198,474,True
E0199,479,True
E0200,480,True
E0201,488,True
E0202,489,True
E0203,491,True
E0204,492,True
E0205,494,True
E0206,495,True
E0207,497,True
E0208,498,True
E0209,509,True
E0210,510,True
E0211,512,True
E0212,513,True
E0213,518,True
E0214,519,True
E0215,521,True
E0216,522,True
E0217,524,True
E0218,525,True
E0219,530,True
E0220,531,True
E0221,533,True
E0222,534,True
E0223,536,True
E0224,537,True
E0225,539,True
E0226,540,True
E0227,545,True
E0228,546,True
E0229,557,True
E0230,558,True
E0231,560,True
E0232,561,True
E0233,563,True
E0234,564,True
E0235,569,True
E0236,570,True
E0237,581,True
E0238,582,True
E0239,584,True
E0240,585,True
E0241,587,True
E0242,588,True
E0243,590,True
E0244,591,True
E0245,593,True
E0246,594,True
E0247,596,True
E0248,597,True
E0249,608,True
E0250,609,True
E0251,626,True
E0252,627,True
E0253,632,True
E0254,633,True
E0255,635,True
E0256,636,True
E0257,641,True
E0258,642,True
E0259,644,True
E0260,645,True
E0261,647,True
E0262,648,True
E0263,650,True
E0264,651,True
E0265,653,True
E0266,654,True
E0267,665,True
E0268,666,True
E0269,668,True
E0270,669,True
E0271,671,True
E0272,672,True
E0273,674,True
E0274,675,True
E0275,680,True
E0276,681,True
E0277,683,True
E0278,684,True
E0279,686,True
E0280,687,True
E0281,689,True
E0282,690,True
E0283,692,True
E0284,693,True
E0285,695,True
E0286,696,True
E0287,698,True
E0288,699,True
E0289,701,True
E0290,702,True
E0291,704,True
E0292,705,True
E0293,707,True
E0294,708,True
E0295,710,True
E0296,711,True
E0297,713,True
E0298,714,True
E0299,716,True
E0300,717,True
E0301,737,True
E0302,738,True
E0303,740,True
E0304,741,True
E0305,746,True
E0306,747,True
E0307,749,True
E0308,750,True
E0309,755,True
E0310,756,True
E0311,758,True
E0312,759,True
E0313,761,True
E0314,762,True
E0315,764,True
E0316,765,True
E0317,767,True
E0318,768,True
E0319,776,True
E0320,777,True
E0321,779,True
E0322,780,True
E0323,782,True
E0324,783,True
E0325,785,True
E0326,786,True
E0327,800,True
E0328,801,True
E0329,803,True
E0330,804,True
E0331,809,True
E0332,810,True
E0333,812,True
E0334,813,True
E0335,815,True
E0336,816,True
E0337,818,True
E0338,819,True
E0339,821,True
E0340,822,True
E0341,824,True
E0342,825,True
E0343,827,True
E0344,828,True
E0345,830,True
E0346,831,True
E0347,833,True
E0348,834,True
E0349,836,True
E0350,837,True
E0351,839,True
E0352,840,True
E0353,845,True
E0354,846,True
E0355,848,True
E0356,849,True
