check,passed,detail
shared pool cannot duplicate supply,True,
reverse edge not inferred,True,
budget monotonicity,True,
mapping uncertainty cannot improve guarantee,True,
capacity 2030_Advanced_0.25,True,
conservation 2030_Advanced_0.25,True,
capacity 2030_Advanced_0.5,True,
conservation 2030_Advanced_0.5,True,
capacity 2030_Advanced_0.75,True,
conservation 2030_Advanced_0.75,True,
capacity 2030_PCIPMI_0.25,True,
conservation 2030_PCIPMI_0.25,True,
capacity 2030_PCIPMI_0.5,True,
conservation 2030_PCIPMI_0.5,True,
capacity 2030_PCIPMI_0.75,True,
conservation 2030_PCIPMI_0.75,True,
capacity 2040_Advanced_0.25,True,
conservation 2040_Advanced_0.25,True,
capacity 2040_Advanced_0.5,True,
conservation 2040_Advanced_0.5,True,
capacity 2040_Advanced_0.75,True,
conservation 2040_Advanced_0.75,True,
capacity 2040_PCIPMI_0.25,True,
conservation 2040_PCIPMI_0.25,True,
capacity 2040_PCIPMI_0.5,True,
conservation 2040_PCIPMI_0.5,True,
capacity 2040_PCIPMI_0.75,True,
conservation 2040_PCIPMI_0.75,True,
cross vintage matched projects,True,
fixed positive country sample,True,
raw edge audit,True,
raw carrier audit,True,
topology upper bound 2030_Advanced_0.250.1,True,
topology upper bound 2030_Advanced_0.250.2,True,
topology upper bound 2030_Advanced_0.250.3,True,
topology upper bound 2030_Advanced_0.251.0,True,
topology upper bound 2030_Advanced_0.50.1,True,
topology upper bound 2030_Advanced_0.50.2,True,
topology upper bound 2030_Advanced_0.50.3,True,
topology upper bound 2030_Advanced_0.51.0,True,
topology upper bound 2030_Advanced_0.750.1,True,
topology upper bound 2030_Advanced_0.750.2,True,
topology upper bound 2030_Advanced_0.750.3,True,
topology upper bound 2030_Advanced_0.751.0,True,
topology upper bound 2030_PCIPMI_0.250.1,True,
topology upper bound 2030_PCIPMI_0.250.2,True,
topology upper bound 2030_PCIPMI_0.250.3,True,
topology upper bound 2030_PCIPMI_0.251.0,True,
topology upper bound 2030_PCIPMI_0.50.1,True,
topology upper bound 2030_PCIPMI_0.50.2,True,
topology upper bound 2030_PCIPMI_0.50.3,True,
topology upper bound 2030_PCIPMI_0.51.0,True,
topology upper bound 2030_PCIPMI_0.750.1,True,
topology upper bound 2030_PCIPMI_0.750.2,True,
topology upper bound 2030_PCIPMI_0.750.3,True,
topology upper bound 2030_PCIPMI_0.751.0,True,
topology upper bound 2040_Advanced_0.250.1,True,
topology upper bound 2040_Advanced_0.250.2,True,
topology upper bound 2040_Advanced_0.250.3,True,
topology upper bound 2040_Advanced_0.251.0,True,
topology upper bound 2040_Advanced_0.50.1,True,
topology upper bound 2040_Advanced_0.50.2,True,
topology upper bound 2040_Advanced_0.50.3,True,
topology upper bound 2040_Advanced_0.51.0,True,
topology upper bound 2040_Advanced_0.750.1,True,
topology upper bound 2040_Advanced_0.750.2,True,
topology upper bound 2040_Advanced_0.750.3,True,
topology upper bound 2040_Advanced_0.751.0,True,
topology upper bound 2040_PCIPMI_0.250.1,True,
topology upper bound 2040_PCIPMI_0.250.2,True,
topology upper bound 2040_PCIPMI_0.250.3,True,
topology upper bound 2040_PCIPMI_0.251.0,True,
topology upper bound 2040_PCIPMI_0.50.1,True,
topology upper bound 2040_PCIPMI_0.50.2,True,
topology upper bound 2040_PCIPMI_0.50.3,True,
topology upper bound 2040_PCIPMI_0.51.0,True,
topology upper bound 2040_PCIPMI_0.750.1,True,
topology upper bound 2040_PCIPMI_0.750.2,True,
topology upper bound 2040_PCIPMI_0.750.3,True,
topology upper bound 2040_PCIPMI_0.751.0,True,
