asset_id,project_code,project_name,country,reported_carrier,reported_capacity_gwh_per_day,commissioning_year,maturity_status,source_id,source_locator,source_semantics,carrier_class,eligibility,excel_row,conversion_efficiency_pct
H2L_001,H2L-A-665,Eemshaven H2,Netherlands,Amonia,45.5,2030.0,Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-A-665","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,5.0,
H2L_002,H2L-A-754,ACE Terminal,Netherlands,Amonia,48.7,2028.0,Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-A-754","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,6.0,97.9
H2L_003,H2L-A-1041,Ammonia terminal in Gdansk,Poland,Amonia,17.7,2029.0,Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-A-1041","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,7.0,
H2L_005,H2L-N-664,Antwerp NH3 Import Terminal,Belgium,Amonia,16.2,2029.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-664","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,9.0,90.0
H2L_006,H2L-N-741,Bordeaux Port H2Hub - Ammonia,France,Amonia,15.0,2029.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-741","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,10.0,85.0
H2L_007,H2L-N-776,Port-La Nouvelle: Infrastructure Development for Low-Carbon Hydrogen Growth,France,Amonia,9.0,2029.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-776","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,11.0,80.0
H2L_009,H2L-N-776,Port-La Nouvelle: Infrastructure Development for Low-Carbon Hydrogen Growth,France,Amonia,18.0,2039.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-776","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,13.0,80.0
H2L_011,H2L-N-776,Port-La Nouvelle: Infrastructure Development for Low-Carbon Hydrogen Growth,France,Amonia,36.0,2049.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-776","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,15.0,80.0
H2L_013,H2L-N-820,Dunkerque New Molecules development,France,Amonia,48.0,2034.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-820","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,17.0,90.0
H2L_014,H2L-N-822,H2/NH3 import terminal Antwerp - VEPA,Belgium,Amonia,15.0,2028.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-822","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,18.0,85.0
