Country,industrial_h2_tonnes_2024,allocation_weight_of_eho_europe
Austria,131797.5951692306,0.017137428473234042
Belgium,392465.20169370197,0.05103161642382836
Bulgaria,124401.70066816988,0.016175752254143947
Croatia,77011.43297142857,0.010013672271292167
Czechia,96680.0127976011,0.012571145945286924
Denmark,25472.0128830697,0.0033120847030053695
Finland,154776.07741165938,0.020125283413587585
France,532869.9372744759,0.06928821746597391
Germany,1384723.8039327562,0.1800534001748031
Greece,349405.93356614007,0.045432689321263334
Hungary,183157.49296851212,0.02381567304816452
Ireland,5299.234757339974,0.0006890509382980855
Italy,548219.9760468206,0.07128415822031509
Lithuania,143218.14220806994,0.01862242376280672
Netherlands,1034441.3435542647,0.1345067374875443
Poland,676079.4630287432,0.0879095208452065
Portugal,130553.47921287124,0.0169756580844258
Romania,117990.05788409349,0.01534205669644466
Slovakia,161390.09692985105,0.020985293691226137
Slovenia,1733.386,0.0002253893825100715
Spain,619015.74933489,0.08048961830002092
Sweden,159389.97455592194,0.020725221008739688
