source_row,from_node,to_node,from_country,to_country,year,capacity_pci_pmi_gwh_per_day,capacity_advanced_gwh_per_day,source_id,source_locator,capacity_semantics,edge_id,edge_type,directed,traceable
2,ALh2,HRh2,Albania,Croatia,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 2","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0001,backbone,True,True
3,ALh2,HRh2,Albania,Croatia,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 3","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0002,backbone,True,True
5,DZh2,ITh2,Algeria,Italy,2030,0.0,448.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 5","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0003,backbone,True,True
6,DZh2,ITh2,Algeria,Italy,2040,448.0,448.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 6","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0004,backbone,True,True
17,ATh2,DEh2,Austria,Germany,2030,150.0,150.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 17","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0005,backbone,True,True
18,ATh2,DEh2,Austria,Germany,2040,150.0,150.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 18","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0006,backbone,True,True
20,ATh2,HUh2,Austria,Hungary,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 20","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0007,backbone,True,True
21,ATh2,HUh2,Austria,Hungary,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 21","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0008,backbone,True,True
23,ATh2,IB-ITh2,Austria,Italy,2030,126.0,126.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 23","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0009,backbone,True,True
24,ATh2,IB-ITh2,Austria,Italy,2040,126.0,126.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 24","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0010,backbone,True,True
