scenario_id,year,level,quantile,eho_industry_twh,eu_coverage_weight
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211
2030_PCIPMI_0.5,2030,PCI/PMI,0.5,293.06784807478266,0.9167120919121211
2030_PCIPMI_0.75,2030,PCI/PMI,0.75,396.897,0.9167120919121211
2030_Advanced_0.25,2030,Advanced,0.25,266.90872250404067,0.9167120919121211
2030_Advanced_0.5,2030,Advanced,0.5,293.06784807478266,0.9167120919121211
2030_Advanced_0.75,2030,Advanced,0.75,396.897,0.9167120919121211
2040_PCIPMI_0.25,2040,PCI/PMI,0.25,379.6612275514279,0.9167120919121211
2040_PCIPMI_0.5,2040,PCI/PMI,0.5,513.7826313050286,0.9167120919121211
2040_PCIPMI_0.75,2040,PCI/PMI,0.75,560.25,0.9167120919121211
2040_Advanced_0.25,2040,Advanced,0.25,379.6612275514279,0.9167120919121211
2040_Advanced_0.5,2040,Advanced,0.5,513.7826313050286,0.9167120919121211
2040_Advanced_0.75,2040,Advanced,0.75,560.25,0.9167120919121211
