tnydp_version,subcategory,code,project_name,country,promoter,maturity_status,new_repurposed,section_name,section_length_km,nominal_diameter_mm,max_operating_pressure_bar,hydrogen_import_capacity_gwh_per_day,importing_hydrogen_carrier_raw,conversion_efficiency_pct,storage_capacity_gwh,commissioning_year,sourcing_country,source_sheet,capacity_semantics,model_use,qa_flag
2026,H2L,H2L-A-776,Hydrogen Mediterranean Gateway Hub Project at Port-La Nouvelle,France,SEMOP PORT-LA NOUVELLE; HOËGH EVI: TEREGA SOLUTIONS,Advanced,New,,,,,43.2,Ammonia,,,2039.0,"LNG or LH2 or other liquid carriers; North America (USA and Canada), MENA region, Latin America.",H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-822,H2/NH3 import terminal Antwerp - Vopak Energy Park Antwerp,Belgium,Vopak Energy Park Antwerp NV,Advanced,New,,,,,15.0,Ammonia,85.0,430.0,2029.0,Electrolysis; SMR;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-822,H2/NH3 import terminal Antwerp - Vopak Energy Park Antwerp,Belgium,Vopak Energy Park Antwerp NV,Advanced,New,,,,,15.0,Ammonia,85.0,430.0,2030.0,Electrolysis; SMR;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-968,Green Wilhelmshaven H2 Terminal incl. operational Storage and Cracker,Germany,Uniper Hydrogen GmbH,Advanced,New,,,,,31.2,Ammonia,85.0,,,Ammonia to Hydrogen Cracking,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-968,Green Wilhelmshaven H2 Terminal incl. operational Storage and Cracker,Germany,Uniper Hydrogen GmbH,Advanced,New,,,,,31.2,Ammonia,85.0,,,Ammonia to Hydrogen Cracking,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-968,Green Wilhelmshaven H2 Terminal incl. operational Storage and Cracker,Germany,Uniper Hydrogen GmbH,Advanced,New,,,,,31.2,Ammonia,85.0,,,Ammonia to Hydrogen Cracking,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-968,Green Wilhelmshaven H2 Terminal incl. operational Storage and Cracker,Germany,Uniper Hydrogen GmbH,Advanced,New,,,,,31.2,Ammonia,85.0,,,Ammonia to Hydrogen Cracking,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-968,Green Wilhelmshaven H2 Terminal incl. operational Storage and Cracker,Germany,Uniper Hydrogen GmbH,Advanced,New,,,,,31.2,Ammonia,85.0,,,Ammonia to Hydrogen Cracking,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-968,Green Wilhelmshaven H2 Terminal incl. operational Storage and Cracker,Germany,Uniper Hydrogen GmbH,Advanced,New,,,,,31.2,Ammonia,85.0,,,Ammonia to Hydrogen Cracking,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-968,Green Wilhelmshaven H2 Terminal incl. operational Storage and Cracker,Germany,Uniper Hydrogen GmbH,Advanced,New,,,,,31.2,Ammonia,87.0,,2033.0,Ammonia to Hydrogen Cracking,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-1127,Amplifhy Rotterdam,Netherlands,VTTI Terminal Support Services (“VTTI”),Advanced,New,,,,,18.76,Ammonia,89.0,210.0,2029.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-1127,Amplifhy Rotterdam,Netherlands,VTTI Terminal Support Services (“VTTI”),Advanced,New,,,,,32.09,Ammonia,89.0,367.5,2033.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-A-1395,MB New Energy Gate Hamburg I,Germany,MB Energy Holding GmbH & Co. KG (MBE),Advanced,New,,,,,20.0,Ammonia,78.0,0.0,2030.0,Cracking of ammonia imported from sources worldwide,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-664,Antwerp NH3 Import Terminal,Belgium,Fluxys NV/SA and Advario,Less-Advanced,New,,,,,16.2,Ammonia,90.0,740.0,2032.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-665,Eemshaven H2,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,18.25,Ammonia,97.7,312.0,2033.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-665,Eemshaven H2,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,36.49,Ammonia,97.7,312.0,2037.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-680,Project Eos,Netherlands,Ecolog Eos B.V.,Less-Advanced,New,,,,,18.27,liquified Hydrogen,100.0,95.0,2030.0,LNG or LH2 or other liquid carriers; Electrolysis;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-680,Project Eos,Netherlands,Ecolog Eos B.V.,Less-Advanced,New,,,,,54.8,liquified Hydrogen,100.0,190.0,2040.0,LNG or LH2 or other liquid carriers; Electrolysis;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-695,Cretan Renewable Hydrogen Export Terminal (H2L Crete),Greece,Eunice Laboratories Single Member S.A.,Less-Advanced,,,,,,,,,,,Electrolysis;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-701,Wilhelmshaven H2 Floating Terminal,Germany,"Nord-West Oelleitung GmbH (NWO), Höegh Evi AS (EVI)",Less-Advanced,New,,,,,25.0,Ammonia,80.0,350.0,2030.0,LNG or LH2 or other liquid carriers; The H2L facilities enables NH3 import and cracking towards H2 for the H2 core grid.,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-716,Cypriot Renewable Hydrogen Export Terminal (H2L Cyprus),Cyprus,Eunice Laboratories Single Member S.A.,Less-Advanced,,,,,,,,,,,Electrolysis;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-741,Bordeaux Port H2Hub - Ammonia,France,Grand Port Maritime de Bordeaux,Less-Advanced,Repurposed,,,,,15.0,Ammonia,85.0,142.0,2034.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-754,ACE Terminal,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,18.25,Ammonia,97.7,312.0,2032.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-754,ACE Terminal,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,36.49,Ammonia,97.7,624.0,2034.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-754,ACE Terminal,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,63.86,Ammonia,97.7,936.0,2037.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
