scenario_id,assignment_count,optimistic_served_gwh,worst_single_node_served_gwh,target_gwh
2030_PCIPMI_0.25,3600,41853.0233591574,20044.69653081993,48935.690671254204
2030_PCIPMI_0.5,3600,45954.944357826986,22009.232304165424,53731.76801616355
2030_PCIPMI_0.75,3600,62236.03056632223,29806.74383495428,72768.05582872905
2030_Advanced_0.25,3600,45063.562869715286,28000.2360413778,48935.690671254204
2030_Advanced_0.5,3600,49480.14164883727,30279.42959517572,53731.76801616355
2030_Advanced_0.75,3600,67010.14768084479,39325.860949476824,72768.05582872905
2040_PCIPMI_0.25,3600,61126.80983720829,30105.807388088255,69608.00762531867
2040_PCIPMI_0.5,3600,82720.83352832975,40741.165583781185,94198.15014634938
2040_PCIPMI_0.75,3600,90202.24538640048,44425.865390459745,102717.58989875318
2040_Advanced_0.25,3600,64100.14418580137,44499.309056191116,69608.00762531867
2040_Advanced_0.5,3600,86744.54581315305,58543.15485592738,94198.15014634938
2040_Advanced_0.75,3600,94589.86900428394,63408.7508190486,102717.58989875318
