scenario_id,joint_assignment_count,target_gwh,optimistic_served_gwh,joint_lower_served_gwh,joint_unmet_upper_pct,witness
2030_PCIPMI_0.25,21600,48935.690671254204,41853.0233591574,20044.69653081993,59.03869700035811,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2N"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2030_PCIPMI_0.5,21600,53731.76801616355,45954.944357826986,22009.232304165427,59.0386970003581,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2N"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2030_PCIPMI_0.75,21600,72768.05582872905,62236.03056632223,29806.74383495428,59.03869700035811,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2N"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2030_Advanced_0.25,21600,48935.690671254204,45063.562869715286,23255.2360413778,52.47796501411517,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2N"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2030_Advanced_0.5,21600,53731.76801616355,49480.14164883727,25534.429595175723,52.477965014115156,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2N"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2030_Advanced_0.75,21600,72768.05582872905,67010.14768084479,34580.860949476824,52.47796501411517,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2N"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2040_PCIPMI_0.25,21600,69608.00762531867,61126.80983720829,30105.807388088255,56.7495056744911,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2SW"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2040_PCIPMI_0.5,21600,94198.15014634938,82720.83352832975,40741.165583781185,56.749505674491104,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2SW"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2040_PCIPMI_0.75,21600,102717.58989875318,90202.24538640048,44425.865390459745,56.749505674491104,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2SW"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2S"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
2040_Advanced_0.25,21600,69608.00762531867,64100.14418580137,39754.30905619112,42.888310680894705,"{""demand_mapping"": {""DEMAND:Belgium"": ""BEH2Mo"", ""DEMAND:Finland"": ""FIh2"", ""DEMAND:France"": ""FRh2SW"", ""DEMAND:Germany"": ""DEh2ba"", ""DEMAND:Italy"": ""ITh2"", ""DEMAND:Poland"": ""PLh2N"", ""DEMAND:Slovakia"": ""IB-SKh2C""}, ""source_mapping"": {""Belgium"": ""LH2_Tk_BE"", ""France"": ""LH2_Tk_FRSW"", ""Germany"": ""LH2_Tk_DE"", ""Italy"": ""LH2_Tk_ITa"", ""Netherlands"": ""LH2_Tk_NL"", ""Poland"": ""LH2_Tk_PLN""}}"
