draw,seed,selection,worst_dcr_pct,mean_dcr_pct,total_unmet_gwh
0,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW,77.89467764213327,58.62625657537126,1044722.773981509
1,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2,77.89467764213327,58.62625657537126,1044722.773981509
2,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N,77.89467764213327,53.689659860546335,939602.773981509
3,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_ITa|IB-ITh2,77.89467764213327,58.62625657537126,1044722.773981509
4,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_NL|NLh2,55.716077972582994,22.998047401686204,404385.1884554238
5,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_PLN|PLh2N,77.89467764213327,56.33212839740136,1005959.7739815088
6,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2,85.51551805722103,69.13090596589252,1232843.7739815088
7,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N,85.51551805722103,64.19430925106761,1127723.773981509
8,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2,85.51551805722103,69.13090596589252,1232843.7739815088
9,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_NL|NLh2,63.33691838767076,31.620043824707537,560212.7312184663
10,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_PLN|PLh2N,85.51551805722103,66.83677778792261,1194080.7739815088
11,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N,85.51551805722103,64.19430925106761,1127723.773981509
12,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,85.51551805722103,69.13090596589252,1232843.7739815088
13,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,63.33691838767076,31.620043824707537,560212.7312184663
14,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,85.51551805722103,66.83677778792261,1194080.7739815088
15,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,85.51551805722103,64.19430925106761,1127723.773981509
16,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,63.33691838767076,28.280963196667773,482495.18845542363
17,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,85.51551805722103,61.90018107309769,1088960.773981509
18,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,63.33691838767076,31.620043824707537,560212.7312184663
19,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,85.51551805722103,66.83677778792261,1194080.7739815088
20,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DEbp|DEh2bp;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,63.33691838767076,29.702551675741493,527910.2312184663
21,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2,77.89467764213327,60.311209474445185,1073192.773981509
22,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N,77.89467764213327,55.37461275962028,968072.773981509
23,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2,77.89467764213327,60.311209474445185,1073192.773981509
24,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_NL|NLh2,55.716077972582994,24.406374968723412,428110.1884554237
25,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_PLN|PLh2N,77.89467764213327,58.01708129647529,1034429.773981509
26,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N,77.89467764213327,55.37461275962028,968072.773981509
27,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,77.89467764213327,60.311209474445185,1073192.773981509
28,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,55.716077972582994,24.406374968723412,428110.1884554237
29,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,77.89467764213327,58.01708129647529,1034429.773981509
30,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,77.89467764213327,55.37461275962028,968072.773981509
31,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,55.716077972582994,21.51254993663125,358030.1884554237
32,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,77.89467764213327,53.080484581650374,929309.773981509
33,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,55.716077972582994,24.406374968723412,428110.1884554237
34,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,77.89467764213327,58.01708129647529,1034429.773981509
35,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,55.716077972582994,22.488882819757368,395807.68845542375
36,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N,85.51551805722103,65.87926215014156,1156193.7739815088
37,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,85.51551805722103,70.81585886496646,1261313.7739815088
38,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,63.33691838767076,33.02837139174475,583937.7312184663
39,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,85.51551805722103,68.52173068699655,1222550.7739815088
40,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,85.51551805722103,65.87926215014156,1156193.7739815088
41,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,63.33691838767076,29.68929076370499,506220.18845542363
42,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,85.51551805722103,63.58513397217164,1117430.7739815088
43,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,63.33691838767076,33.02837139174475,583937.7312184663
44,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,85.51551805722103,68.52173068699655,1222550.7739815088
45,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,63.33691838767076,31.110879242778704,551635.2312184663
46,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,85.51551805722103,65.87926215014156,1156193.7739815088
47,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,63.33691838767076,29.68929076370499,506220.18845542363
48,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,85.51551805722103,63.58513397217164,1117430.7739815088
