scenario_label,scenario_id,year,level,demand_level,failure_count,unmet_gwh,total_demand_gwh,served_gwh,demand_cut_rate_pct,method
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,34317.04921819372,100491.54921819372,66174.5,34.14918914592742,robust_base
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,44166.0006879507,110340.5006879507,66174.5,40.02700768311239,robust_base
S2030_PCIPMI_high,S2030_PCIPMI_high,2030,PCI/PMI,high,0,83257.83790139484,149432.33790139484,66174.5,55.716077972582994,robust_base
S2030_Advanced_low,S2030_Advanced_low,2030,Advanced,low,0,17709.549218193704,100491.54921819372,82782.00000000001,17.62292387366981,robust_base
S2030_Advanced_medium,S2030_Advanced_medium,2030,Advanced,medium,0,27558.50068795069,110340.5006879507,82782.0,24.975870615167608,robust_base
S2030_Advanced_high,S2030_Advanced_high,2030,Advanced,high,0,66650.33790139484,149432.33790139484,82782.0,44.60235236724668,robust_base
S2040_PCIPMI_low,S2040_PCIPMI_low,2040,PCI/PMI,low,0,0.0,142943.0427630426,142943.0427630426,0.0,robust_base
S2040_PCIPMI_medium,S2040_PCIPMI_medium,2040,PCI/PMI,medium,0,20648.95991161635,193439.95991161634,172791.0,10.674609279825617,robust_base
S2040_PCIPMI_high,S2040_PCIPMI_high,2040,PCI/PMI,high,0,38143.99650855626,210934.99650855624,172791.0,18.08329444612052,robust_base
S2040_Advanced_low,S2040_Advanced_low,2040,Advanced,low,0,0.0,142943.0427630426,142943.0427630426,0.0,robust_base
S2040_Advanced_medium,S2040_Advanced_medium,2040,Advanced,medium,0,4041.459911616377,193439.95991161634,189398.49999999997,2.0892580382372596,robust_base
S2040_Advanced_high,S2040_Advanced_high,2040,Advanced,high,0,21536.49650855625,210934.99650855624,189398.5,10.210015817684695,robust_base
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,34317.04921819372,100491.54921819372,66174.5,34.14918914592742,deterministic_base
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,44166.0006879507,110340.5006879507,66174.5,40.02700768311239,deterministic_base
S2030_PCIPMI_high,S2030_PCIPMI_high,2030,PCI/PMI,high,0,83257.83790139484,149432.33790139484,66174.5,55.716077972582994,deterministic_base
