scenario_label,scenario_id,year,level,demand_level,failure_count,edge_id,edge_type,from_node,to_node,candidate_key,carrier,flow_gwh,capacity_gwh,utilisation_pct
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0005,backbone,ATh2,DEh2,,NH3_cracked_to_H2,0.0,54750.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0005,backbone,ATh2,DEh2,,LOHC_to_H2,0.0,54750.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0009,backbone,ATh2,IB-ITh2,,NH3_cracked_to_H2,12483.450177479797,45990.0,27.143836002347893
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0009,backbone,ATh2,IB-ITh2,,LOHC_to_H2,-0.0,45990.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0019,terminal_backbone,LH2_Tk_BE,BEh2,LH2_Tk_BE|BEh2,NH3_cracked_to_H2,21644.5,21644.5,100.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0025,backbone,BEH2Mo,FRh2Va,,NH3_cracked_to_H2,-0.0,8760.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0025,backbone,BEH2Mo,FRh2Va,,LOHC_to_H2,-0.0,8760.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0027,backbone,BEh2,DEh2,,NH3_cracked_to_H2,21644.5,33288.0,65.0219298245614
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0027,backbone,BEh2,DEh2,,LOHC_to_H2,-0.0,33288.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0031,backbone,BEh2,NLh2,,NH3_cracked_to_H2,0.0,13140.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0031,backbone,BEh2,NLh2,,LOHC_to_H2,0.0,13140.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0037,backbone,BGh2,GRh2,,NH3_cracked_to_H2,-0.0,29200.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0037,backbone,BGh2,GRh2,,LOHC_to_H2,-0.0,29200.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0057,backbone,CZh2,DEh2,,NH3_cracked_to_H2,-0.0,105120.0,-0.0
